ID,Name,Category,City,Country,Latitude,Longitude,Description,Entry_Time,Fee,Visit_Time
2113,Bridge,Tourist Attraction,Unknown,India,12.0420936,92.7024442,Not Available,Not Available,0,Not Available
2114,Bridge over Tangon river 180 feet long,Tourist Attraction,Unknown,India,28.6113972,95.8754269,Not Available,0,Not Available,Not Available
2115,Bridge to Mansher,Tourist Attraction,Unknown,India,15.4458885,73.93249,Not Available,0,Not Available,Not Available
2116,Brige,Tourist Attraction,Unknown,India,27.3607702,88.1955267,Not Available,0,Not Available,Not Available
2117,Brilpah peak,Natural Landmark,Unknown,India,34.2690756,75.7937025,Not Available,0,Not Available,Not Available
2118,Bring,Natural Landmark,Unknown,India,33.1045562,77.331047,Not Available,0,Not Available,Not Available
2119,Brodie Castle,Tourist Attraction,Unknown,India,13.0158394,80.2628474,Not Available,0,Not Available,Not Available
2120,Brok,Natural Landmark,Unknown,India,34.5333236,76.727271,Not Available,0,Not Available,Not Available
2121,Brooks Peak,Natural Landmark,Unknown,India,9.5990705,77.3306046,Not Available,0,Not Available,Not Available
2122,Brookside Bunglow Rabindranath Tagore Museum,Museum,Unknown,India,25.5689065,91.8727957,Not Available,0,Not Available,Not Available
2123,Brown-antlered Deer / Thamin Deer,Tourist Attraction,Unknown,India,12.3007746,76.6655421,Not Available,0,Not Available,Not Available
2124,Bucheshwara Temple,Archaeological Site,Unknown,India,13.0531181,76.176712,Not Available,0,Not Available,Not Available
2125,Buddha,Monument,Unknown,India,11.5986556,92.6104425,Not Available,Not Available,0,Not Available
2126,Buddha Statue,Monument,Unknown,India,18.5442399,73.7740402,Not Available,0,Not Available,Not Available
2127,"Buddha Statue, Rajgir",Monument,Unknown,India,25.0175528,85.4972372,Not Available,0,Not Available,Not Available
2128,Buddha sculpture,Monument,Unknown,India,19.1338216,72.9152685,Not Available,0,Not Available,Not Available
2129,Buddha statue,Tourist Attraction,Unknown,India,27.5975638,91.8709835,Not Available,Not Available,0,Not Available
2130,Buddha's monument,Monument,Unknown,India,17.3359145,78.2895947,Not Available,0,Not Available,Not Available
2131,Buddhavana,Scenic View,Unknown,India,24.9254246,85.2430087,Not Available,0,Not Available,Not Available
2132,Buddha’s image on a rock,Tourist Attraction,Unknown,India,27.3471374,92.2621703,Not Available,0,Not Available,Not Available
2133,Buddhist Cave,Archaeological Site,Unknown,India,20.8917386,70.4122501,Not Available,0,Not Available,Not Available
2134,Budhha Statue,Monument,Unknown,India,19.2278205,72.8051264,Not Available,0,Not Available,Not Available
2135,Budhaburu,Natural Landmark,Unknown,India,22.2879537,85.2762906,Not Available,0,Not Available,Not Available
2136,Budi Banj,Natural Landmark,Unknown,India,30.1538109,78.6562299,Not Available,0,Not Available,Not Available
2137,Budikote,Castle,Unknown,India,12.9047148,78.1276599,Not Available,0,Not Available,Not Available
2138,Budshah Chowk,Tourist Attraction,Unknown,India,34.0719211,74.8091954,Not Available,0,Not Available,Not Available
2139,Budua,Natural Landmark,Unknown,India,24.6945464,85.5881069,Not Available,0,Not Available,Not Available
2140,Buffalo campsite,Zoo,Unknown,India,30.072803,78.3119344,Not Available,0,Not Available,Not Available
2141,Bugjan,Natural Landmark,Unknown,India,33.4367905,76.4927245,Not Available,0,Not Available,Not Available
2142,Bugyalkoti,Natural Landmark,Unknown,India,30.4210333,79.6671009,Not Available,0,Not Available,Not Available
2143,Bujalla,Natural Landmark,Unknown,India,30.8060311,78.3081218,Not Available,0,Not Available,Not Available
2144,Buljar Konda,Natural Landmark,Unknown,India,17.6080704,81.758151,Not Available,0,Not Available,Not Available
2145,Bull Temple,Tourist Attraction,Unknown,India,13.3693722,77.6860634,Not Available,0,Not Available,Not Available
2146,Bumiktse La,Tourist Attraction,Unknown,India,34.0514335,76.8399395,Not Available,0,Not Available,Not Available
2147,Bump - 邦普,Natural Landmark,Unknown,India,33.6232125,78.7577062,Not Available,0,Not Available,Not Available
2148,Bundiparkota Ghat,Tourist Attraction,Unknown,India,25.3161972,83.0196903,Not Available,0,Not Available,Not Available
2149,Bundla,Natural Landmark,Unknown,India,20.4440236,73.8979697,Not Available,0,Not Available,Not Available
2150,Bunga,Natural Landmark,Unknown,India,31.8072327,77.368319,Not Available,Not Available,0,Not Available
2151,Burail Fort,Castle,Unknown,India,30.7074654,76.7612343,Not Available,0,Not Available,Not Available
2152,Buran Ghati pass,Scenic View,Unknown,India,31.3877931,78.1459193,Not Available,0,Not Available,Not Available
2153,Burdalau Peak,Natural Landmark,Unknown,India,34.1499733,75.3412997,Not Available,0,Not Available,Not Available
2154,Burha Dongar,Natural Landmark,Unknown,India,21.3778184,83.2818603,Not Available,0,Not Available,Not Available
2155,Burharas Parbat,Natural Landmark,Unknown,India,20.6971035,82.4866364,Not Available,0,Not Available,Not Available
2156,Burphu Dhura,Natural Landmark,Unknown,India,30.3831511,80.2773315,Not Available,0,Not Available,Not Available
2157,Buru Sasangda,Natural Landmark,Unknown,India,22.1166841,85.2833247,Not Available,0,Not Available,Not Available
2158,Buruikuti Buru,Natural Landmark,Unknown,India,22.5653075,85.6121933,Not Available,0,Not Available,Not Available
2159,Burzahom Archaeological Site,Tourist Attraction,Unknown,India,34.1691499,74.866985,Not Available,0,Not Available,Not Available
2160,Burzakut,Natural Landmark,Unknown,India,34.2089117,74.9025057,Not Available,0,Not Available,Not Available
2161,Burzawas,Natural Landmark,Unknown,India,34.0842934,75.0365607,Not Available,0,Not Available,Not Available
2162,Burzpathar,Natural Landmark,Unknown,India,33.4677647,75.3005732,Not Available,0,Not Available,Not Available
2163,Buratakur Pahar,Natural Landmark,Unknown,India,23.0228869,85.9430576,Not Available,0,Not Available,Not Available
2164,Busiya,Natural Landmark,Unknown,India,30.1777256,79.5042142,Not Available,0,Not Available,Not Available
2165,Busnagi,Natural Landmark,Unknown,India,31.5902341,78.1063556,Not Available,0,Not Available,Not Available
2166,Bust of Dr. Rajkumar,Monument,Unknown,India,12.9104577,77.5855754,Not Available,0,Not Available,Not Available
2167,Butler Beach,Tourist Attraction,Unknown,India,10.6705294,92.5756878,Not Available,0,Not Available,Not Available
2168,Butterfly Park,Theme Park,Unknown,India,23.0042377,72.5985306,Not Available,0,Not Available,Not Available
2169,Butterfly garden,Tourist Attraction,Unknown,India,10.1934822,76.5272799,Not Available,0,Not Available,Not Available
2170,Butterfly museum,Museum,Unknown,India,25.5816224,91.8801886,Not Available,0,Not Available,Not Available
2171,Buttress peak,Natural Landmark,Unknown,India,34.1497659,75.3274852,Not Available,0,Not Available,Not Available
2172,Byas Shikhar,Natural Landmark,Unknown,India,30.7518679,77.8686046,Not Available,0,Not Available,Not Available
2173,Bagdeo Dongri,Natural Landmark,Unknown,India,20.1485026,82.7344859,Not Available,0,Not Available,Not Available
2174,Bageakutiburu,Natural Landmark,Unknown,India,22.2698364,85.2484989,Not Available,0,Not Available,Not Available
2175,Bāghmuri,Natural Landmark,Unknown,India,22.4842079,86.1143267,Not Available,0,Not Available,Not Available
2176,Bai Buru,Natural Landmark,Unknown,India,22.8507486,85.4742551,Not Available,0,Not Available,Not Available
2177,Bajni Dongar,Natural Landmark,Unknown,India,20.3753266,82.6012389,Not Available,0,Not Available,Not Available
2178,Balappa Durgam,Natural Landmark,Unknown,India,17.7258578,81.6878772,Not Available,0,Not Available,Not Available
2179,Balohindigiburu,Natural Landmark,Unknown,India,22.273979,85.2718643,Not Available,0,Not Available,Not Available
2180,Baman Buru,Natural Landmark,Unknown,India,22.8490206,85.6766669,Not Available,0,Not Available,Not Available
2181,Bamani,Natural Landmark,Unknown,India,24.4431695,85.7659024,Not Available,0,Not Available,Not Available
2182,Banri Pahar,Natural Landmark,Unknown,India,24.4544257,83.3604061,Not Available,0,Not Available,Not Available
2183,Banadag,Natural Landmark,Unknown,India,23.9834565,85.2980795,Not Available,0,Not Available,Not Available
2184,Banalata,Natural Landmark,Unknown,India,22.2678354,85.342474,Not Available,0,Not Available,Not Available
2185,Bapana Konda,Natural Landmark,Unknown,India,17.505979,81.481455,Not Available,0,Not Available,Not Available
2186,Bāsko Pahār,Natural Landmark,Unknown,India,24.966111,87.5203943,Not Available,0,Not Available,Not Available
2187,Birpokhar,Natural Landmark,Unknown,India,23.4197607,84.2558407,Not Available,0,Not Available,Not Available
2188,Budha Pahar,Natural Landmark,Unknown,India,21.5579986,83.5970306,Not Available,Not Available,0,Not Available
2189,Bundu,Natural Landmark,Unknown,India,23.6692397,85.4137766,Not Available,0,Not Available,Not Available
2190,Burharaja Dungri,Natural Landmark,Unknown,India,21.5120512,83.4104776,Not Available,0,Not Available,Not Available
2191,Buri Konda,Natural Landmark,Unknown,India,17.482342,81.6116971,Not Available,0,Not Available,Not Available
2192,C,Scenic View,Unknown,India,34.0168294,74.3472884,Not Available,0,Not Available,Not Available
2193,VRVM chettiars House,Tourist Attraction,Unknown,India,10.1767916,78.7779049,Not Available,0,Not Available,Not Available
2194,CANON,Monument,Unknown,India,24.0941523,88.2510427,Not Available,Not Available,0,Not Available
2195,CB 13,Natural Landmark,Unknown,India,32.3513738,77.5558974,Not Available,0,Not Available,Not Available
2196,CB 16,Natural Landmark,Unknown,India,32.3212166,77.5265629,Not Available,0,Not Available,Not Available
2197,CB 19,Natural Landmark,Unknown,India,32.3316946,77.5095195,Not Available,0,Not Available,Not Available
2198,CB 20,Natural Landmark,Unknown,India,32.4013225,77.5259549,Not Available,0,Not Available,Not Available
2199,CB 22,Natural Landmark,Unknown,India,32.4076691,77.5486135,Not Available,0,Not Available,Not Available
2200,CB 26,Natural Landmark,Unknown,India,32.3730961,77.459318,Not Available,0,Not Available,Not Available
2201,CB 31,Natural Landmark,Unknown,India,32.4311338,77.4707895,Not Available,0,Not Available,Not Available
2202,CB 32,Natural Landmark,Unknown,India,32.4264339,77.483705,Not Available,0,Not Available,Not Available
2203,CB 50,Natural Landmark,Unknown,India,32.5173258,77.3962762,Not Available,0,Not Available,Not Available
2204,CB 52,Natural Landmark,Unknown,India,32.5153502,77.4181593,Not Available,Not Available,0,Not Available
2205,CB 54,Natural Landmark,Unknown,India,32.5419264,77.4448069,Not Available,0,Not Available,Not Available
2206,CB-10 Tara Pahar,Natural Landmark,Unknown,India,32.4474847,77.4794819,Not Available,0,Not Available,Not Available
2207,CB-11,Natural Landmark,Unknown,India,32.3807699,77.5178529,Not Available,0,Not Available,Not Available
2208,CB-12,Natural Landmark,Unknown,India,32.332517,77.54859,Not Available,0,Not Available,Not Available
2209,CB-14,Natural Landmark,Unknown,India,32.371167,77.566918,Not Available,0,Not Available,Not Available
2210,CB-33 MINAR,Natural Landmark,Unknown,India,32.471691,77.486602,Not Available,0,Not Available,Not Available
2211,CB-9,Natural Landmark,Unknown,India,32.5684561,77.4573355,Not Available,0,Not Available,Not Available
2212,CB18,Natural Landmark,Unknown,India,32.3278924,77.5210682,Not Available,0,Not Available,Not Available
2213,CHAPRADA,Tourist Attraction,Unknown,India,19.61617,79.8000289,Not Available,0,Not Available,Not Available
2214,CHENNAI CORPORATION PARK,Tourist Attraction,Unknown,India,13.0263685,80.2171939,Not Available,0,Not Available,Not Available
2215,CHEWA,Tourist Attraction,Unknown,India,34.2772983,74.665981,Not Available,0,Not Available,Not Available
2216,CHICKEN 65 SHOP,Tourist Attraction,Unknown,India,13.0323409,80.2200818,Not Available,0,Not Available,Not Available
2217,CIET CANTEEN,Art Gallery,Unknown,India,16.3714879,80.4356308,Not Available,0,Not Available,Not Available
2218,CIET Convention Hall,Art Gallery,Unknown,India,16.3703772,80.4368445,Not Available,0,Not Available,Not Available
2219,CIET Store,Art Gallery,Unknown,India,16.3718122,80.4360278,Not Available,0,Not Available,Not Available
2220,CMC History and Art Museum,Museum,Unknown,India,10.1012481,76.2623646,Not Available,0,Not Available,Not Available
2221,CPI Party Office,Tourist Attraction,Unknown,India,17.2616782,80.1503993,Not Available,0,Not Available,Not Available
2222,CPIML Party Office,Tourist Attraction,Unknown,India,17.2585563,80.1516132,Not Available,0,Not Available,Not Available
2223,CPM Party Office,Tourist Attraction,Unknown,India,17.2569267,80.1491721,Not Available,0,Not Available,Not Available
2224,CRBC 50th Anniversary Monolith,Monument,Unknown,India,25.9125847,94.2031695,Not Available,0,Not Available,Not Available
2225,CSI CHURCH,Tourist Attraction,Unknown,India,18.3279586,78.3297312,Not Available,0,Not Available,Not Available
2226,Cable bridge,Tourist Attraction,Unknown,India,13.2111656,75.2734613,Not Available,0,Not Available,Not Available
2227,Cabo de Rama,Castle,Unknown,India,15.0886314,73.9216425,Not Available,0,Not Available,Not Available
2228,Cache The Arts And Crafts Gallery,Art Gallery,Unknown,India,19.059634,72.8343142,Not Available,0,Not Available,Not Available
2229,Cadell Point,Natural Landmark,Unknown,India,13.0335423,93.0044417,Not Available,0,Not Available,Not Available
2230,Cafn Carnedd,Natural Landmark,Unknown,India,34.2492655,75.2830635,Not Available,0,Not Available,Not Available
2231,Cake Mountains,Tourist Attraction,Unknown,India,33.3574105,78.3690752,Not Available,0,Not Available,Not Available
2232,Calico Textile Museum,Museum,Unknown,India,23.05418,72.5924764,Not Available,0,Not Available,Not Available
2233,Calicut Beach,Tourist Attraction,Unknown,India,11.2516316,75.7711608,Not Available,0,Not Available,Not Available
2234,Calicut University Museum,Museum,Unknown,India,11.1323805,75.8885893,Not Available,0,Not Available,Not Available
2235,Calmelagiri Botanical Garden,Tourist Attraction,Unknown,India,10.0960601,77.1014348,Not Available,0,Not Available,Not Available
2236,Camel Market,Tourist Attraction,Unknown,India,26.4882784,74.54348,Not Available,0,Not Available,Not Available
2237,Camel Ride,Tourist Attraction,Unknown,India,9.8086457,77.2466104,Not Available,0,Not Available,Not Available
2238,Cameltoe Tibba,Natural Landmark,Unknown,India,30.7726602,77.2519613,Not Available,0,Not Available,Not Available
2239,Camp #3,Tourist Attraction,Unknown,India,15.008718,75.0006011,Not Available,0,Not Available,Not Available
2240,Canal Palam Overlook,Scenic View,Unknown,India,11.8798287,75.3952988,Not Available,0,Not Available,Not Available
2241,Cannon,Tourist Attraction,Unknown,India,28.6576364,77.2294836,Not Available,0,Not Available,Not Available
2242,Cannon 1,Tourist Attraction,Unknown,India,18.9620892,72.9285928,Not Available,0,Not Available,Not Available
2243,Cannon 2,Tourist Attraction,Unknown,India,18.9602159,72.9288297,Not Available,0,Not Available,Not Available
2244,Canopy Walk Mukki MP Tourism,Scenic View,Unknown,India,22.1447401,80.6659245,Not Available,0,Not Available,Not Available
2245,Canopy trail,Tourist Attraction,Unknown,India,21.9894495,88.7567008,Not Available,0,Not Available,Not Available
2246,Canyon,Tourist Attraction,Unknown,India,26.9382491,88.5933703,Not Available,0,Not Available,Not Available
2247,Canyon viewpoint,Scenic View,Unknown,India,23.1283259,79.7964989,Not Available,0,Not Available,Not Available
2248,Cape Barwell,Natural Landmark,Unknown,India,11.83333,92.53334,Not Available,0,Not Available,Not Available
2249,Cape Price,Natural Landmark,Unknown,India,13.5710638,93.0268035,Not Available,0,Not Available,Not Available
2250,Cape Rama,Historical Ruins,Unknown,India,15.0893677,73.9232117,Not Available,0,Not Available,Not Available
2251,Cape Strachan,Natural Landmark,Unknown,India,12.71667,92.9667,Not Available,0,Not Available,Not Available
2252,Cape Vestal,Natural Landmark,Unknown,India,12.92726,92.96562,Not Available,0,Not Available,Not Available
2253,Captured Paki Tank,Tourist Attraction,Unknown,India,29.0048529,77.7045818,Not Available,0,Not Available,Not Available
2254,Carey Museum,Museum,Unknown,India,22.7519817,88.3523917,Not Available,0,Not Available,Not Available
2255,Casa Araujo Alvares,Tourist Attraction,Unknown,India,15.3393445,73.9863871,Not Available,0,Not Available,Not Available
2256,Casa Picasso Statue,Tourist Attraction,Unknown,India,28.4162901,77.0916729,Not Available,0,Not Available,Not Available
2257,Cashew Factory,Tourist Attraction,Unknown,India,17.7256659,73.1999948,Not Available,0,Not Available,Not Available
2258,Castella de Aguada,Tourist Attraction,Unknown,India,19.0419788,72.8184995,Not Available,0,Not Available,Not Available
2259,"Tara Garh ,fort",Tourist Attraction,Unknown,India,26.4419267,74.6178626,Not Available,0,Not Available,Not Available
2260,Castle Rock Point,Scenic View,Unknown,India,17.9750951,73.6389211,Not Available,0,Not Available,Not Available
2261,Cathedral,Natural Landmark,Unknown,India,32.13003,77.662285,Not Available,0,Not Available,Not Available
2262,Cathedral of Mary Help of Christians,Tourist Attraction,Unknown,India,25.5684009,91.8913797,Not Available,0,Not Available,Not Available
2263,Cave,Tourist Attraction,Unknown,India,30.9974242,78.9227211,Not Available,Not Available,0,Not Available
2264,Cave 1,Archaeological Site,Unknown,India,23.5325586,77.7706357,Not Available,Not Available,0,Not Available
2265,Cave 11,Tourist Attraction,Unknown,India,20.0213338,75.179637,Not Available,0,Not Available,Not Available
2266,Cave 12,Tourist Attraction,Unknown,India,20.0218227,75.1795887,Not Available,0,Not Available,Not Available
2267,Cave 13,Tourist Attraction,Unknown,India,20.0221402,75.1793018,Not Available,0,Not Available,Not Available
2268,Cave 13 (Nārāyaṇa Cave),Archaeological Site,Unknown,India,23.5362633,77.7720448,Not Available,0,Not Available,Not Available
2269,Cave 15,Tourist Attraction,Unknown,India,20.0228105,75.1795083,Not Available,0,Not Available,Not Available
2270,Cave 16,Tourist Attraction,Unknown,India,20.0236985,75.1788733,Not Available,0,Not Available,Not Available
2271,Cave 17,Monument,Unknown,India,20.0242278,75.1787748,Not Available,0,Not Available,Not Available
2272,Cave 18,Monument,Unknown,India,20.0251996,75.1782419,Not Available,0,Not Available,Not Available
2273,Cave 19,Monument,Unknown,India,20.0253974,75.1781794,Not Available,0,Not Available,Not Available
2274,Cave 19 (Viṣṇupada cave),Archaeological Site,Unknown,India,23.5404115,77.7718366,Not Available,0,Not Available,Not Available
2275,Cave 2,Tourist Attraction,Unknown,India,20.0200891,75.1795614,Not Available,0,Not Available,Not Available
2276,Cave 20,Monument,Unknown,India,20.0257351,75.1779217,Not Available,0,Not Available,Not Available
2277,Cave 23,Monument,Unknown,India,20.0264228,75.1775571,Not Available,0,Not Available,Not Available
2278,Cave 3,Tourist Attraction,Unknown,India,20.0201453,75.1796866,Not Available,0,Not Available,Not Available
2279,Cave 4,Tourist Attraction,Unknown,India,20.0202312,75.1797939,Not Available,0,Not Available,Not Available
2280,Cave 5,Tourist Attraction,Unknown,India,20.020356,75.1799047,Not Available,0,Not Available,Not Available
2281,Cave 5 (Varāha Cave),Archaeological Site,Unknown,India,23.5363125,77.7724056,Not Available,0,Not Available,Not Available
2282,Cave 6,Tourist Attraction,Unknown,India,20.0206118,75.1798892,Not Available,0,Not Available,Not Available
2283,Cave 7,Tourist Attraction,Unknown,India,20.0206874,75.1798637,Not Available,0,Not Available,Not Available
2284,Cave 8,Tourist Attraction,Unknown,India,20.0207541,75.1798087,Not Available,0,Not Available,Not Available
2285,Cave 9,Tourist Attraction,Unknown,India,20.0208194,75.1797658,Not Available,0,Not Available,Not Available
2286,Cave Hill,Natural Landmark,Unknown,India,12.6187684,75.8785492,Not Available,0,Not Available,Not Available
2287,Cave of Nightmares,Tourist Attraction,Unknown,India,30.9943394,77.2126006,Not Available,0,Not Available,Not Available
2288,Cemetery,Tourist Attraction,Unknown,India,34.168821,77.5821983,Not Available,0,Not Available,Not Available
2289,Cenotaph,Tourist Attraction,Unknown,India,28.0537916,75.1432898,Not Available,0,Not Available,Not Available
2290,Cenotaph with Pagla and Rayan Tree,Monument,Unknown,India,21.4839279,71.7950973,Not Available,0,Not Available,Not Available
2291,Central Art Gallery,Art Gallery,Unknown,India,28.0137459,73.3327838,Not Available,0,Not Available,Not Available
2292,Central Art Gallery 2,Art Gallery,Unknown,India,28.0133944,73.3322518,Not Available,0,Not Available,Not Available
2293,Central Asian Museum,Museum,Unknown,India,34.1652367,77.5848945,Not Available,0,Not Available,Not Available
2294,Central Jail Amravati,Museum,Unknown,India,20.93183,77.7880645,Not Available,0,Not Available,Not Available
2295,Central Museum - Indore,Museum,Unknown,India,22.7052316,75.8793076,Not Available,0,Not Available,Not Available
2296,Central Peak,Natural Landmark,Unknown,India,32.2401,77.675682,Not Available,0,Not Available,Not Available
2297,Central peak,Natural Landmark,Unknown,India,13.5143973,79.7880148,Not Available,0,Not Available,Not Available
2298,Centre for International Modern Art,Museum,Unknown,India,22.5315809,88.3646939,Not Available,0,Not Available,Not Available
2299,Centre of Excellence for Protected Cultivation and Precision Farming,Tourist Attraction,Unknown,India,23.4170134,72.9015623,Not Available,0,Not Available,Not Available
2300,Cerro Kishtwar,Natural Landmark,Unknown,India,33.3488938,76.5768635,Not Available,0,Not Available,Not Available
2301,Cha,Natural Landmark,Unknown,India,33.3202991,77.0918289,Not Available,0,Not Available,Not Available
2302,Chachi Mug,Natural Landmark,Unknown,India,32.5337529,77.1343231,Not Available,0,Not Available,Not Available
2303,Chadri Buru,Natural Landmark,Unknown,India,22.8205509,85.9359276,Not Available,0,Not Available,Not Available
2304,Chagle,Natural Landmark,Unknown,India,31.1103715,78.9183247,Not Available,0,Not Available,Not Available
2305,Chair lift,Tourist Attraction,Unknown,India,27.3740817,88.7579306,Not Available,0,Not Available,Not Available
2306,Chaitanya Jyoti Museum,Museum,Unknown,India,14.1612764,77.8095882,Not Available,0,Not Available,Not Available
2307,Chakdev,Natural Landmark,Unknown,India,17.7246008,73.5674304,Not Available,0,Not Available,Not Available
2308,Chakkilidurg,Natural Landmark,Unknown,India,12.2421386,79.4014066,Not Available,0,Not Available,Not Available
2309,Chakkillliyan Kombu,Natural Landmark,Unknown,India,10.2320309,77.346425,Not Available,0,Not Available,Not Available
2310,Chakra Tirtha,Archaeological Site,Unknown,India,15.3361789,76.4678475,Not Available,0,Not Available,Not Available
2311,Chakrateertha Pond,Tourist Attraction,Unknown,India,12.7783456,77.2343688,Not Available,0,Not Available,Not Available
2312,Chakri,Natural Landmark,Unknown,India,31.6950359,77.6715374,Not Available,0,Not Available,Not Available
2313,Chakula,Natural Landmark,Unknown,India,33.3972618,78.4417831,Not Available,0,Not Available,Not Available
2314,Chalab,Natural Landmark,Unknown,India,30.597642,80.042523,Not Available,0,Not Available,Not Available
2315,Chalfil Road,Tourist Attraction,Unknown,India,23.8831265,92.9203965,Not Available,0,Not Available,Not Available
2316,Chali Ki Jali,Tourist Attraction,Unknown,India,29.4748388,79.6432405,Not Available,0,Not Available,Not Available
2317,Chaliyar children's park,Tourist Attraction,Unknown,India,11.2458192,75.9959805,Not Available,0,Not Available,Not Available
2318,Chaliyar parakkadavu,Tourist Attraction,Unknown,India,11.2824195,76.224443,Not Available,0,Not Available,Not Available
2319,Chalung,Natural Landmark,Unknown,India,33.1285977,78.443518,Not Available,0,Not Available,Not Available
2320,Chambagarh Fort,Historical Ruins,Unknown,India,31.9068373,77.059406,Not Available,0,Not Available,Not Available
2321,Chambal river crocodile safari,Tourist Attraction,Unknown,India,25.850691,76.5621355,Not Available,0,Not Available,Not Available
2322,Champa Bawdi,Monument,Unknown,India,22.3567985,75.391971,Not Available,0,Not Available,Not Available
2323,Chamrao Parvat,Natural Landmark,Unknown,India,30.9888344,79.5300661,Not Available,0,Not Available,Not Available
2324,Chamser Kangri,Natural Landmark,Unknown,India,32.9613332,78.4426315,Not Available,0,Not Available,Not Available
2325,Chamshen Kangri,Natural Landmark,Unknown,India,34.8847454,77.8020354,Not Available,0,Not Available,Not Available
2326,Chamundi Hill,Scenic View,Unknown,India,12.2724017,76.6703937,Not Available,0,Not Available,Not Available
2327,Chamāra,Natural Landmark,Unknown,India,22.8971495,86.3408339,Not Available,0,Not Available,Not Available
2328,Chanalung,Natural Landmark,Unknown,India,32.9921061,79.0477122,Not Available,0,Not Available,Not Available
2329,Chanaota,Tourist Attraction,Unknown,India,32.3834773,76.4813172,Not Available,0,Not Available,Not Available
2330,Chand Pol,Historical Ruins,Unknown,India,24.5826417,73.6819528,Not Available,0,Not Available,Not Available
2331,Moon Gate,Tourist Attraction,Unknown,India,26.987223,75.8508634,Not Available,0,Not Available,Not Available
2332,Chandak,Natural Landmark,Unknown,India,29.6038472,80.1962385,Not Available,0,Not Available,Not Available
2333,Chandalkot,Historical Ruins,Unknown,India,29.3486545,80.0753385,Not Available,0,Not Available,Not Available
2334,Chandana Parai,Natural Landmark,Unknown,India,10.2287224,77.3929524,Not Available,0,Not Available,Not Available
2335,Chandangad,Natural Landmark,Unknown,India,17.847411,74.0453282,Not Available,0,Not Available,Not Available
2336,Chandavaram Buddha Stupa,Archaeological Site,Unknown,India,15.9332388,79.4279269,Not Available,0,Not Available,Not Available
2337,Chandavaram Buddhist vihara,Archaeological Site,Unknown,India,15.9336326,79.4277631,Not Available,0,Not Available,Not Available
2338,Chanderi,Natural Landmark,Unknown,India,19.06434,73.2458069,Not Available,0,Not Available,Not Available
2339,Chandli Dungri,Natural Landmark,Unknown,India,21.4990048,83.6282515,Not Available,0,Not Available,Not Available
2340,Chandra Parbat,Natural Landmark,Unknown,India,30.8716972,79.2573382,Not Available,0,Not Available,Not Available
2341,Chandra Parbat NW,Natural Landmark,Unknown,India,30.8823603,79.24809,Not Available,0,Not Available,Not Available
2342,Chandra Parbat S,Natural Landmark,Unknown,India,30.8587026,79.2547946,Not Available,0,Not Available,Not Available
2343,Chandragad,Natural Landmark,Unknown,India,18.0012213,73.6194611,Not Available,0,Not Available,Not Available
2344,Chandragad Viewpoint,Scenic View,Unknown,India,17.9885229,73.6281095,Not Available,0,Not Available,Not Available
2345,Chandragiri,Natural Landmark,Unknown,India,12.8617097,76.4878169,Not Available,0,Not Available,Not Available
2346,Chandrashila,Scenic View,Unknown,India,30.4864571,79.2212307,Not Available,0,Not Available,Not Available
2347,Chandrasila,Natural Landmark,Unknown,India,30.4864387,79.2212065,Not Available,0,Not Available,Not Available
2348,Chandratal lake foot route - alt: 4254m,Tourist Attraction,Unknown,India,32.4673387,77.615704,Not Available,0,Not Available,Not Available
2349,Chandrayandurg,Natural Landmark,Unknown,India,12.2430141,79.39255,Not Available,0,Not Available,Not Available
2350,Chandreshwar Parvat,Natural Landmark,Unknown,India,15.2133629,74.0368008,Not Available,0,Not Available,Not Available
2351,Chandru Buru,Natural Landmark,Unknown,India,22.9035642,85.9478184,Not Available,0,Not Available,Not Available
2352,Chang Chenmo Kangri,Natural Landmark,Unknown,India,34.2229683,78.6575089,Not Available,0,Not Available,Not Available
2353,Changabang,Natural Landmark,Unknown,India,30.5004449,79.9266712,Not Available,0,Not Available,Not Available
2354,Changaram Wetlands,Tourist Attraction,Unknown,India,9.7974268,76.2907047,Not Available,0,Not Available,Not Available
2355,Changchenmo,Natural Landmark,Unknown,India,34.1764414,78.8747418,Not Available,0,Not Available,Not Available
2356,Changlung,Natural Landmark,Unknown,India,34.1334761,77.003088,Not Available,0,Not Available,Not Available
2357,Changuch,Natural Landmark,Unknown,India,30.2916578,80.0401052,Not Available,0,Not Available,Not Available
2358,Chanjwara,Natural Landmark,Unknown,India,31.4536353,77.2304899,Not Available,0,Not Available,Not Available
2359,Channarayana Durga,Castle,Unknown,India,13.5977419,77.2086651,Not Available,0,Not Available,Not Available
2360,Channarayaswamy Betta,Natural Landmark,Unknown,India,13.3866463,77.667362,Not Available,0,Not Available,Not Available
2361,Chanochlor,Natural Landmark,Unknown,India,33.3730496,76.5904597,Not Available,0,Not Available,Not Available
2362,Chansal peak,Natural Landmark,Unknown,India,31.2135096,77.9939318,Not Available,0,Not Available,Not Available
2363,Chaoba ching,Scenic View,Unknown,India,24.5326122,93.832957,Not Available,0,Not Available,Not Available
2364,Chaora Dongar,Natural Landmark,Unknown,India,20.1333633,82.7711033,Not Available,0,Not Available,Not Available
2365,Chapar,Natural Landmark,Unknown,India,29.5880966,79.5252335,Not Available,0,Not Available,Not Available
2366,Chapora Hill,Natural Landmark,Unknown,India,15.6059514,73.7363559,Not Available,0,Not Available,Not Available
