user_id,place_id,place_name,name,rating,types
123,6120,Davis Fall Pokhara,Davis Fall Pokhara,4, Natural Landmark
124,6120,Davis Fall Pokhara,Davis Fall Pokhara,2, Natural Landmark
125,6120,Davis Fall Pokhara,Davis Fall Pokhara,5, Natural Landmark
126,6129,Hanuman Dhoka,Hanuman Dhoka,5, Historical Ruins
127,6129,Hanuman Dhoka,Hanuman Dhoka,5, Historical Ruins
128,6129,Hanuman Dhoka,Hanuman Dhoka,3, Historical Ruins
129,6129,Hanuman Dhoka,Hanuman Dhoka,4, Historical Ruins
130,6129,Hanuman Dhoka,Hanuman Dhoka,5, Historical Ruins
131,6129,Hanuman Dhoka,Hanuman Dhoka,5, Historical Ruins
132,6129,Hanuman Dhoka,Hanuman Dhoka,5, Historical Ruins
133,6129,Hanuman Dhoka,Hanuman Dhoka,5, Historical Ruins
134,6131,Kakre Bihar,Kakre Bihar,4, Archaeological Site
135,6131,Kakre Bihar,Kakre Bihar,5, Archaeological Site
136,6131,Kakre Bihar,Kakre Bihar,5, Archaeological Site
137,6131,Kakre Bihar,Kakre Bihar,5, Archaeological Site
138,6131,Kakre Bihar,Kakre Bihar,4, Archaeological Site
139,6131,Kakre Bihar,Kakre Bihar,5, Archaeological Site
140,6131,Kakre Bihar,Kakre Bihar,5, Archaeological Site
141,6131,Kakre Bihar,Kakre Bihar,4, Archaeological Site
142,6140,Nava Durga Temple,Nava Durga Temple,5, Religious Site
16,6140,Nava Durga Temple,Nava Durga Temple,5, Religious Site
143,6140,Nava Durga Temple,Nava Durga Temple,5, Religious Site
144,6140,Nava Durga Temple,Nava Durga Temple,3, Religious Site
145,6140,Nava Durga Temple,Nava Durga Temple,5, Religious Site
146,6140,Nava Durga Temple,Nava Durga Temple,5, Religious Site
147,6140,Nava Durga Temple,Nava Durga Temple,5, Religious Site
148,6140,Nava Durga Temple,Nava Durga Temple,5, Religious Site
149,29,kalika Bhagwati Temple,Kalika Bhagwati Community Forest,5,"park, point_of_interest, establishment"
150,29,kalika Bhagwati Temple,Kalika Bhagwati Community Forest,5,"park, point_of_interest, establishment"
151,29,kalika Bhagwati Temple,Kalika Bhagwati Community Forest,5,"park, point_of_interest, establishment"
152,29,kalika Bhagwati Temple,Kalika Bhagwati Community Forest,5,"park, point_of_interest, establishment"
153,29,kalika Bhagwati Temple,Kalika Bhagwati Community Forest,5,"park, point_of_interest, establishment"
154,29,kalika Bhagwati Temple,Kalika Bhagwati Community Forest,5,"park, point_of_interest, establishment"
155,29,kalika Bhagwati Temple,Kalika Bhagwati Community Forest,5,"park, point_of_interest, establishment"
156,29,kalika Bhagwati Temple,Kalika Bhagwati Community Forest,5,"park, point_of_interest, establishment"
149,29,Kalika Bhagwati Temple,Kalika Bhagwati Community Forest,5,"park, point_of_interest, establishment"
150,29,Kalika Bhagwati Temple,Kalika Bhagwati Community Forest,5,"park, point_of_interest, establishment"
151,29,Kalika Bhagwati Temple,Kalika Bhagwati Community Forest,5,"park, point_of_interest, establishment"
152,29,Kalika Bhagwati Temple,Kalika Bhagwati Community Forest,5,"park, point_of_interest, establishment"
153,29,Kalika Bhagwati Temple,Kalika Bhagwati Community Forest,5,"park, point_of_interest, establishment"
154,29,Kalika Bhagwati Temple,Kalika Bhagwati Community Forest,5,"park, point_of_interest, establishment"
155,29,Kalika Bhagwati Temple,Kalika Bhagwati Community Forest,5,"park, point_of_interest, establishment"
156,29,Kalika Bhagwati Temple,Kalika Bhagwati Community Forest,5,"park, point_of_interest, establishment"
157,6147,Budhasubba Temple,Budhasubba Temple,5, Religious Site
158,6147,Budhasubba Temple,Budhasubba Temple,5, Religious Site
159,6147,Budhasubba Temple,Budhasubba Temple,5, Religious Site
160,6147,Budhasubba Temple,Budhasubba Temple,4, Religious Site
161,6147,Budhasubba Temple,Budhasubba Temple,5, Religious Site
162,6147,Budhasubba Temple,Budhasubba Temple,5, Religious Site
163,6147,Budhasubba Temple,Budhasubba Temple,5, Religious Site
