user_id,place_id,place_name,rating,types
141,6131.0,Kakre Bihar,4, Archaeological Site
142,6140.0,Nava Durga Temple,5, Religious Site
16,6140.0,Nava Durga Temple,5, Religious Site
143,6140.0,Nava Durga Temple,5, Religious Site
144,6140.0,Nava Durga Temple,3, Religious Site
145,6140.0,Nava Durga Temple,5, Religious Site
146,6140.0,Nava Durga Temple,5, Religious Site
147,6140.0,Nava Durga Temple,5, Religious Site
148,6140.0,Nava Durga Temple,5, Religious Site
149,,kalika Bhagwati Temple,5,
150,,kalika Bhagwati Temple,5,
151,,kalika Bhagwati Temple,5,
152,,kalika Bhagwati Temple,5,
153,,kalika Bhagwati Temple,5,
154,,kalika Bhagwati Temple,5,
155,,kalika Bhagwati Temple,5,
156,,kalika Bhagwati Temple,5,
149,6145.0,Kalika Bhagwati Temple,5,0
150,6145.0,Kalika Bhagwati Temple,5,0
151,6145.0,Kalika Bhagwati Temple,5,0
152,6145.0,Kalika Bhagwati Temple,5,0
153,6145.0,Kalika Bhagwati Temple,5,0
154,6145.0,Kalika Bhagwati Temple,5,0
155,6145.0,Kalika Bhagwati Temple,5,0
156,6145.0,Kalika Bhagwati Temple,5,0
157,6147.0,Budhasubba Temple,5, Religious Site
158,6147.0,Budhasubba Temple,5, Religious Site
159,6147.0,Budhasubba Temple,5, Religious Site
160,6147.0,Budhasubba Temple,4, Religious Site
161,6147.0,Budhasubba Temple,5, Religious Site
162,6147.0,Budhasubba Temple,5, Religious Site
163,6147.0,Budhasubba Temple,5, Religious Site
164,6147.0,Budhasubba Temple,3, Religious Site
165,6150.0,Phewa Lake,4, Natural Landmark
166,6150.0,Phewa Lake,5, Natural Landmark
167,6150.0,Phewa Lake,5, Natural Landmark
168,6150.0,Phewa Lake,5, Natural Landmark
169,6150.0,Phewa Lake,5, Natural Landmark
170,6150.0,Phewa Lake,5, Natural Landmark
171,6150.0,Phewa Lake,5, Natural Landmark
172,6150.0,Phewa Lake,5, Natural Landmark
173,6173.0,Nepal Art Council ,5, Art Gallery
174,6173.0,Nepal Art Council ,5, Art Gallery
175,6173.0,Nepal Art Council ,5, Art Gallery
176,6173.0,Nepal Art Council ,5, Art Gallery
177,6173.0,Nepal Art Council ,5, Art Gallery
178,6173.0,Nepal Art Council ,5, Art Gallery
179,6173.0,Nepal Art Council ,5, Art Gallery
180,6173.0,Nepal Art Council ,5, Art Gallery
9,6175.0,Taleju Temple,5, Religious Site
10,6175.0,Taleju Temple,5, Religious Site
11,6175.0,Taleju Temple,5, Religious Site
12,6175.0,Taleju Temple,5, Religious Site
13,6175.0,Taleju Temple,4, Religious Site
14,6175.0,Taleju Temple,5, Religious Site
15,6175.0,Taleju Temple,5, Religious Site
16,6175.0,Taleju Temple,5, Religious Site
181,6181.0,Umbrella Street,5, Tourist Attraction
182,6181.0,Umbrella Street,4, Tourist Attraction
183,6181.0,Umbrella Street,5, Tourist Attraction
184,6181.0,Umbrella Street,4, Tourist Attraction
185,6181.0,Umbrella Street,4, Tourist Attraction
186,6181.0,Umbrella Street,4, Tourist Attraction
187,6181.0,Umbrella Street,4, Tourist Attraction
188,6181.0,Umbrella Street,5, Tourist Attraction
175,292.0,Siddhartha Art Gallery,4,"art_gallery, tourist_attraction, point_of_interest, establishment"
189,292.0,Siddhartha Art Gallery,4,"art_gallery, tourist_attraction, point_of_interest, establishment"
139,292.0,Siddhartha Art Gallery,4,"art_gallery, tourist_attraction, point_of_interest, establishment"
190,292.0,Siddhartha Art Gallery,5,"art_gallery, tourist_attraction, point_of_interest, establishment"
191,292.0,Siddhartha Art Gallery,4,"art_gallery, tourist_attraction, point_of_interest, establishment"
192,292.0,Siddhartha Art Gallery,5,"art_gallery, tourist_attraction, point_of_interest, establishment"
193,292.0,Siddhartha Art Gallery,5,"art_gallery, tourist_attraction, point_of_interest, establishment"
194,292.0,Siddhartha Art Gallery,4,"art_gallery, tourist_attraction, point_of_interest, establishment"
195,6199.0,Gosaikunda Lake,4, Natural Landmark
196,6199.0,Gosaikunda Lake,5, Natural Landmark
197,6199.0,Gosaikunda Lake,5, Natural Landmark
198,6199.0,Gosaikunda Lake,5, Natural Landmark
199,6199.0,Gosaikunda Lake,5, Natural Landmark
200,6199.0,Gosaikunda Lake,5, Natural Landmark
201,6199.0,Gosaikunda Lake,5, Natural Landmark
202,6199.0,Gosaikunda Lake,5, Natural Landmark
203,6203.0,Nuwakot Palace ,4, Historical Ruins
204,6203.0,Nuwakot Palace ,4, Historical Ruins
205,6203.0,Nuwakot Palace ,4, Historical Ruins
206,6203.0,Nuwakot Palace ,4, Historical Ruins
207,6203.0,Nuwakot Palace ,4, Historical Ruins
208,6203.0,Nuwakot Palace ,5, Historical Ruins
209,6203.0,Nuwakot Palace ,4, Historical Ruins
210,6203.0,Nuwakot Palace ,4, Historical Ruins
211,6209.0,Pilot Baba Aashram,5, Religious Site
212,6209.0,Pilot Baba Aashram,5, Religious Site
213,6209.0,Pilot Baba Aashram,5, Religious Site
159,6209.0,Pilot Baba Aashram,5, Religious Site
214,6209.0,Pilot Baba Aashram,4, Religious Site
215,6209.0,Pilot Baba Aashram,4, Religious Site
216,6209.0,Pilot Baba Aashram,4, Religious Site
217,6209.0,Pilot Baba Aashram,4, Religious Site
218,6216.0,Guhyeshwari Shaktipeeth Temple,5, Religious Site
219,6216.0,Guhyeshwari Shaktipeeth Temple,5, Religious Site
220,6216.0,Guhyeshwari Shaktipeeth Temple,5, Religious Site
221,6216.0,Guhyeshwari Shaktipeeth Temple,5, Religious Site
222,6216.0,Guhyeshwari Shaktipeeth Temple,5, Religious Site
223,6216.0,Guhyeshwari Shaktipeeth Temple,5, Religious Site
224,6216.0,Guhyeshwari Shaktipeeth Temple,4, Religious Site
225,6216.0,Guhyeshwari Shaktipeeth Temple,5, Religious Site
226,6217.0,Naxal Bhagawati Temple,3, Religious Site
227,6217.0,Naxal Bhagawati Temple,3, Religious Site
26,6217.0,Naxal Bhagawati Temple,4, Religious Site
228,6217.0,Naxal Bhagawati Temple,5, Religious Site
229,6217.0,Naxal Bhagawati Temple,5, Religious Site
82,6217.0,Naxal Bhagawati Temple,5, Religious Site
230,6217.0,Naxal Bhagawati Temple,4, Religious Site
35,6217.0,Naxal Bhagawati Temple,5, Religious Site
231,6224.0,Agnishala,5, Religious Site
87,6224.0,Agnishala,4, Religious Site
232,6224.0,Agnishala,5, Religious Site
233,6224.0,Agnishala,5, Religious Site
234,6224.0,Agnishala,5, Religious Site
235,6224.0,Agnishala,4, Religious Site
236,6224.0,Agnishala,5, Religious Site
88,6224.0,Agnishala,5, Religious Site
237,6226.0,Uperdangadi Chitwan,5, Natural Landmark
238,6226.0,Uperdangadi Chitwan,5, Natural Landmark
239,6226.0,Uperdangadi Chitwan,1, Natural Landmark
240,6226.0,Uperdangadi Chitwan,4, Natural Landmark
241,6226.0,Uperdangadi Chitwan,4, Natural Landmark
242,6226.0,Uperdangadi Chitwan,4, Natural Landmark
243,6226.0,Uperdangadi Chitwan,5, Natural Landmark
244,6226.0,Uperdangadi Chitwan,5, Natural Landmark
245,6232.0,Lumbini Museum,3, Art Gallery
246,6232.0,Lumbini Museum,4, Art Gallery
247,6232.0,Lumbini Museum,5, Art Gallery
248,6232.0,Lumbini Museum,5, Art Gallery
249,6232.0,Lumbini Museum,2, Art Gallery
250,6232.0,Lumbini Museum,3, Art Gallery
251,6232.0,Lumbini Museum,4, Art Gallery
252,6232.0,Lumbini Museum,4, Art Gallery
253,13.0,Elephant Breeding Center,3,"tourist_attraction, park, food, point_of_interest, establishment"
254,13.0,Elephant Breeding Center,1,"tourist_attraction, park, food, point_of_interest, establishment"
255,13.0,Elephant Breeding Center,3,"tourist_attraction, park, food, point_of_interest, establishment"
256,13.0,Elephant Breeding Center,4,"tourist_attraction, park, food, point_of_interest, establishment"
257,13.0,Elephant Breeding Center,5,"tourist_attraction, park, food, point_of_interest, establishment"
258,13.0,Elephant Breeding Center,1,"tourist_attraction, park, food, point_of_interest, establishment"
259,13.0,Elephant Breeding Center,2,"tourist_attraction, park, food, point_of_interest, establishment"
260,13.0,Elephant Breeding Center,4,"tourist_attraction, park, food, point_of_interest, establishment"
261,6242.0,Purnachandi Mandir,5, Religious Site
87,6242.0,Purnachandi Mandir,4, Religious Site
262,6242.0,Purnachandi Mandir,5, Religious Site
16,6242.0,Purnachandi Mandir,5, Religious Site
263,6242.0,Purnachandi Mandir,5, Religious Site
264,6242.0,Purnachandi Mandir,3, Religious Site
265,6242.0,Purnachandi Mandir,3, Religious Site
58,6242.0,Purnachandi Mandir,4, Religious Site
9,6246.0,Degu Taleju Mandir,5, Religious Site
10,6246.0,Degu Taleju Mandir,5, Religious Site
11,6246.0,Degu Taleju Mandir,5, Religious Site
12,6246.0,Degu Taleju Mandir,5, Religious Site
13,6246.0,Degu Taleju Mandir,4, Religious Site
14,6246.0,Degu Taleju Mandir,5, Religious Site
15,6246.0,Degu Taleju Mandir,5, Religious Site
16,6246.0,Degu Taleju Mandir,5, Religious Site
87,6248.0,Ashok Stupa Pulchowk,5, Archaeological Site
266,6248.0,Ashok Stupa Pulchowk,4, Archaeological Site
267,6248.0,Ashok Stupa Pulchowk,5, Archaeological Site
268,6248.0,Ashok Stupa Pulchowk,4, Archaeological Site
269,6248.0,Ashok Stupa Pulchowk,5, Archaeological Site
270,6248.0,Ashok Stupa Pulchowk,5, Archaeological Site
88,6248.0,Ashok Stupa Pulchowk,5, Archaeological Site
271,6248.0,Ashok Stupa Pulchowk,3, Archaeological Site
87,6266.0,Yognarendra Salik,5, Religious Site
272,6266.0,Yognarendra Salik,4, Religious Site
33,6268.0,Changu Museum,5, Art Gallery
273,6268.0,Changu Museum,5, Art Gallery
274,6268.0,Changu Museum,5, Art Gallery
275,6268.0,Changu Museum,5, Art Gallery
276,6268.0,Changu Museum,2, Art Gallery
277,6268.0,Changu Museum,5, Art Gallery
278,6268.0,Changu Museum,4, Art Gallery
279,6268.0,Changu Museum,5, Art Gallery
280,6273.0,Aadeshwar Mahadev Temple,5, Religious Site
281,6273.0,Aadeshwar Mahadev Temple,5, Religious Site
282,6273.0,Aadeshwar Mahadev Temple,5, Religious Site
283,6273.0,Aadeshwar Mahadev Temple,4, Religious Site
284,6273.0,Aadeshwar Mahadev Temple,5, Religious Site
285,6273.0,Aadeshwar Mahadev Temple,5, Religious Site
44,6273.0,Aadeshwar Mahadev Temple,5, Religious Site
286,6273.0,Aadeshwar Mahadev Temple,3, Religious Site
287,6275.0,Maitidevi Temple,5, Religious Site
288,6275.0,Maitidevi Temple,5, Religious Site
289,6275.0,Maitidevi Temple,5, Religious Site
290,6275.0,Maitidevi Temple,5, Religious Site
291,6275.0,Maitidevi Temple,5, Religious Site
159,6275.0,Maitidevi Temple,5, Religious Site
292,6275.0,Maitidevi Temple,5, Religious Site
293,6275.0,Maitidevi Temple,5, Religious Site
25,6276.0,Uma Maheshwor Temple,5, Religious Site
26,6276.0,Uma Maheshwor Temple,4, Religious Site
27,6276.0,Uma Maheshwor Temple,5, Religious Site
16,6276.0,Uma Maheshwor Temple,5, Religious Site
28,6276.0,Uma Maheshwor Temple,5, Religious Site
29,6276.0,Uma Maheshwor Temple,5, Religious Site
30,6276.0,Uma Maheshwor Temple,5, Religious Site
31,6276.0,Uma Maheshwor Temple,5, Religious Site
90,6280.0,Changu Narayan Temple,5,Heritage Site
91,6280.0,Changu Narayan Temple,5,Heritage Site
92,6280.0,Changu Narayan Temple,5,Heritage Site
93,6280.0,Changu Narayan Temple,4,Heritage Site
94,6280.0,Changu Narayan Temple,5,Heritage Site
95,6280.0,Changu Narayan Temple,5,Heritage Site
96,6280.0,Changu Narayan Temple,5,Heritage Site
97,6280.0,Changu Narayan Temple,5,Heritage Site
294,6284.0,Katyayini Mandir,5, Religious Site
295,6284.0,Katyayini Mandir,5, Religious Site
296,6284.0,Katyayini Mandir,5, Religious Site
297,6284.0,Katyayini Mandir,5, Religious Site
298,6284.0,Katyayini Mandir,5, Religious Site
299,6284.0,Katyayini Mandir,4, Religious Site
300,6284.0,Katyayini Mandir,1, Religious Site
301,6284.0,Katyayini Mandir,4, Religious Site
12,6287.0,Pachali Bhairab Mandir,4, Religious Site
302,6287.0,Pachali Bhairab Mandir,5, Religious Site
303,6287.0,Pachali Bhairab Mandir,5, Religious Site
304,6287.0,Pachali Bhairab Mandir,5, Religious Site
305,6287.0,Pachali Bhairab Mandir,5, Religious Site
306,6287.0,Pachali Bhairab Mandir,3, Religious Site
307,6287.0,Pachali Bhairab Mandir,4, Religious Site
308,6287.0,Pachali Bhairab Mandir,5, Religious Site
309,6297.0,Kaiser Mahal Palace,5, Historical Ruins
310,6297.0,Kaiser Mahal Palace,5, Historical Ruins
311,6297.0,Kaiser Mahal Palace,2, Historical Ruins
312,6297.0,Kaiser Mahal Palace,5, Historical Ruins
313,6297.0,Kaiser Mahal Palace,4, Historical Ruins
314,6297.0,Kaiser Mahal Palace,5, Historical Ruins
315,6297.0,Kaiser Mahal Palace,5, Historical Ruins
316,6297.0,Kaiser Mahal Palace,5, Historical Ruins
317,6298.0,Banbatika Park,5, Scenic View
318,6298.0,Banbatika Park,4, Scenic View
319,6298.0,Banbatika Park,5, Scenic View
320,6298.0,Banbatika Park,4, Scenic View
321,6298.0,Banbatika Park,5, Scenic View
322,6298.0,Banbatika Park,4, Scenic View
323,6298.0,Banbatika Park,5, Scenic View
324,6298.0,Banbatika Park,4, Scenic View
325,6300.0,Nil Saraswati Mandir,5, Religious Site
12,6300.0,Nil Saraswati Mandir,4, Religious Site
326,6300.0,Nil Saraswati Mandir,5, Religious Site
327,6300.0,Nil Saraswati Mandir,4, Religious Site
328,6300.0,Nil Saraswati Mandir,5, Religious Site
329,6300.0,Nil Saraswati Mandir,5, Religious Site
330,6300.0,Nil Saraswati Mandir,5, Religious Site
331,6300.0,Nil Saraswati Mandir,5, Religious Site
121,6301.0,Sauraha Tharu Village ,5, Tourist Attraction
332,6301.0,Sauraha Tharu Village ,5, Tourist Attraction
333,6301.0,Sauraha Tharu Village ,5, Tourist Attraction
334,6301.0,Sauraha Tharu Village ,5, Tourist Attraction
335,6301.0,Sauraha Tharu Village ,5, Tourist Attraction
336,6301.0,Sauraha Tharu Village ,3, Tourist Attraction
337,6301.0,Sauraha Tharu Village ,4, Tourist Attraction
338,6301.0,Sauraha Tharu Village ,4, Tourist Attraction
339,6315.0,Mount Everest,5, Natural Landmark
340,6317.0,Tanglu,5, Scenic View
341,6317.0,Tanglu,5, Scenic View
342,6317.0,Tanglu,5, Scenic View
343,6317.0,Tanglu,5, Scenic View
344,6317.0,Tanglu,5, Scenic View
345,6317.0,Tanglu,5, Scenic View
346,6317.0,Tanglu,5, Scenic View
347,6317.0,Tanglu,4, Scenic View
348,6319.0,Birat Durbar,3, Historical Ruins
349,6319.0,Birat Durbar,4, Historical Ruins
350,6319.0,Birat Durbar,3, Historical Ruins
351,6319.0,Birat Durbar,3, Historical Ruins
352,6319.0,Birat Durbar,4, Historical Ruins
353,6319.0,Birat Durbar,4, Historical Ruins
354,6319.0,Birat Durbar,4, Historical Ruins
355,6319.0,Birat Durbar,4, Historical Ruins
356,,konjyosom Pratima,5,
357,,konjyosom Pratima,5,
358,,konjyosom Pratima,5,
359,,konjyosom Pratima,5,
360,,konjyosom Pratima,5,
361,,konjyosom Pratima,5,
362,,konjyosom Pratima,4,
363,,konjyosom Pratima,5,
237,6324.0,Uppardang Gadi,5, Scenic View
238,6324.0,Uppardang Gadi,5, Scenic View
239,6324.0,Uppardang Gadi,1, Scenic View
240,6324.0,Uppardang Gadi,4, Scenic View
241,6324.0,Uppardang Gadi,4, Scenic View
242,6324.0,Uppardang Gadi,4, Scenic View
243,6324.0,Uppardang Gadi,5, Scenic View
244,6324.0,Uppardang Gadi,5, Scenic View
364,6327.0,Umit Jharana,5, Natural Landmark
365,6327.0,Umit Jharana,5, Natural Landmark
366,6328.0,Simali Gaun,5, Natural Landmark
367,6328.0,Simali Gaun,3, Natural Landmark
368,6328.0,Simali Gaun,3, Natural Landmark
369,6331.0,Kabilas Chauki dada,5, Scenic View
370,6331.0,Kabilas Chauki dada,5, Scenic View
371,6331.0,Kabilas Chauki dada,5, Scenic View
372,6331.0,Kabilas Chauki dada,1, Scenic View
373,6331.0,Kabilas Chauki dada,3, Scenic View
374,6331.0,Kabilas Chauki dada,4, Scenic View
375,6331.0,Kabilas Chauki dada,4, Scenic View
376,6331.0,Kabilas Chauki dada,5, Scenic View
377,6333.0,Gairibari jharana,4, Natural Landmark
378,6333.0,Gairibari jharana,4, Natural Landmark
379,6333.0,Gairibari jharana,4, Natural Landmark
380,6333.0,Gairibari jharana,3, Natural Landmark
381,6333.0,Gairibari jharana,4, Natural Landmark
243,6333.0,Gairibari jharana,4, Natural Landmark
382,6333.0,Gairibari jharana,3, Natural Landmark
383,6333.0,Gairibari jharana,5, Natural Landmark
76,6334.0,Naagdaha  Ichchhakamana,4, Natural Landmark
384,6334.0,Naagdaha  Ichchhakamana,1, Natural Landmark
69,6341.0,Mahabuddha Temple,5, Religious Site
16,6341.0,Mahabuddha Temple,5, Religious Site
385,6341.0,Mahabuddha Temple,5, Religious Site
386,6341.0,Mahabuddha Temple,5, Religious Site
387,6341.0,Mahabuddha Temple,5, Religious Site
388,6341.0,Mahabuddha Temple,3, Religious Site
389,6341.0,Mahabuddha Temple,5, Religious Site
390,6341.0,Mahabuddha Temple,5, Religious Site
391,6374.0,Bhedetar Bazar,5, Tourist Attraction
