id,name,address,latitude,longitude,rating,second_word,types
4906,Ramnagar Bahaur,"Ramnagar Bahaur 45800, नेपाल",26.841667,85.383333,,नेपाल, monument
4907,Bagh-E-Madna pokhariya Bazar Chandranagar sarlahi,"WHHX+QM, मोहनपुर 45800, नेपाल",26.9294148,85.5991082,0,मोहनपुर, mosque
4908,हिरण्यवर्ण महाविहार,"M8GF+3QG, क्वालखु मार्ग, ललितपुर 44700, नेपाल",27.675192,85.324442,4.7,क्वालखु मार्ग, monument
4909,चन्द्र नगर,"चन्द्र नगर 45800, नेपाल",26.9233469,85.6177891,,नेपाल, historic_site
4910,Rajan niwas( dhunpure home stay),"FM63+XP, सिपाली चिलाउने 45200, नेपाल",27.4624358,85.6542615,5,सिपाली, trek
4911,मेलुङ,"CJGX+RJV, बुढाखानी 45200, नेपाल",27.4271059,85.6490379,0,बुढाखानी, hike
4912,Harkathwa tola,"WC2J+C2W, धनकौल पूर्व 45800, नेपाल",26.9011165,85.4300655,3,धनकौल, park
4913,Sisautiya friends church,"VFP6+GV7, सिसोटिया 45800, नेपाल",26.8863026,85.4621047,0,सिसोटिया, church
4914,धनकौल,"धनकौल, नेपाल",26.9011165,85.4300655,,नेपाल, tourist_attraction
4915,"मस्जिद,mosque","VC5M+MMF, Ramban Rd, रामवन 45800, नेपाल",26.859208,85.4341611,3,Ramban Rd, mosque
4916,Dr. Manjarul,"W9G8+467, धरमपुर 44500, नेपाल",26.9253456,85.3655814,0,धरमपुर, museum
4917,Shree Ram Janaki Mandir(राम जानकी मन्दिर),"WC28+R9F, धनकौल पूर्व 45800, नेपाल",26.9020789,85.4159336,5,धनकौल, hindu_temple
4918,Dhankaul Rural Municipality,"WC54+MJG, हरकठवा 45800, नेपाल",26.9091935,85.4065702,3.7,हरकठवा, historic_site
4919,Panpiyahh park,"VHRR+55J, बाबरगंज रोड, ब्रह्मपुरी 45800, नेपाल",26.8904617,85.5903764,4.5,बाबरगंज रोड, park
4920,Brahampuri,"VHXP+HQ3, ब्रह्मपुरी 45800, नेपाल",26.8988827,85.5869352,5,ब्रह्मपुरी, church
4921,Brahmapuri 1 Garhi Tol Nuri Jama Masjid,"VHMP+PJ4, बाबरगंज रोड, ब्रह्मपुरी 45800, नेपाल",26.8842354,85.586679,4.5,बाबरगंज रोड, mosque
4922,Chaudhary Art,"हेटौडा 44107, नेपाल",27.431361,85.0355634,5,नेपाल, art_gallery
4923,Rajendra mukheya Ramjanki Temple,"VHRV+7J4, ब्रह्मपुरी 45800, नेपाल",26.8905925,85.5940578,4.9,ब्रह्मपुरी, hindu_temple
4924,Dharmanath Mahadev Temple,"WM56+5QW, धनकौल पछवारी 45800, नेपाल",26.9079987,85.661968,4.7,धनकौल, monument
4925,ब्रह्मपुरी,"ब्रह्मपुरी 45800, नेपाल",26.8988827,85.5869352,,नेपाल, historic_site
4926,Parwanipur park,"3PRG+5GQ, परवानीपुर 45800, नेपाल",27.0904605,85.7263536,4.8,परवानीपुर, picnic
4927,Ahmadiyya Muslim Jamaat Nepal,"Babu ram acharya road, सिनामंगल राेड 9, काठमाडौँ 44600, नेपाल",27.6950889,85.3541801,4.4,सिनामंगल, mosque
4928,N.K. Motor,"VFQW+QH4, Sundarpur Chowharba, बरहथवा 45800, नेपाल",26.8893808,85.4964757,0,Sundarpur Chowharba, monument
4929,"Murtiya, Sarlahi, Nepal","2F2M+HH4, मुर्तिया 45800, नेपाल",27.0013541,85.4840816,0,मुर्तिया, historic_site
4930,बिष्णु द्वार,"Q9X4+585, Shivapuri Nagarjun National Park Hiking Trail, बुढानीलकण्ठ 44600, नेपाल",27.7978988,85.3558661,4.5,Shivapuri Nagarjun National Park Hiking Trail, trek
4931,विष्णुद्वार झरना,"Unnamed Road, 44600, नेपाल",27.79439,85.3555241,4.5,44600, trek
4932,Devdhari stadium SUNDARPUR chakarghatta 4,"VFHR+VQP, सुन्दरपुर 45800, नेपाल",26.8797126,85.4919553,5,सुन्दरपुर, park
4933,कौडेना,"कौडेना 45800, नेपाल",26.8623199,85.5106701,,नेपाल, tourist_attraction
4934,Quadri Jame masjid,"VG27+C7J, कौडेना 45800, नेपाल",26.8510887,85.5131704,5,कौडेना, mosque
4935,Kaudena Maharani Mandir,"VG67+V33, कौडेना 45800, नेपाल",26.8621434,85.512696,0,कौडेना, hindu_temple
4936,Parsa Christian Church,"Khairahani-8, नेपाल",27.6147808,84.5709231,0,नेपाल, church
4937,पर्सा,"पर्सा, नेपाल",26.8857019,85.6357789,,नेपाल, monument
4938,murtiya mandir,"2F2M+HH4, मुर्तिया 45800, नेपाल",27.0013532,85.4840812,5,मुर्तिया, monument
4939,बसबरीया,"बसबरीया, 45800, नेपाल",26.9207283,85.4141508,,45800, tourist_attraction
4940,Kuldeep kumar sahu,"XF2R+MMP kuldeep kumar t, श्रीपुर 45800, नेपाल",26.9517039,85.4916903,0,श्रीपुर, museum
4941,Mai sthan (brahram Baba )parariya sarlahi nepal.,"WG62+2PG, पिडरीया 45800, नेपाल",26.9100872,85.5018364,0,पिडरीया, hindu_temple
