id,name,address,latitude,longitude,rating,second_word,types,description,removal_reason
71,Rabin homes,"MCFG+QWP, Bhaktapur 44800, Nepal",27.6744697,85.4273127,0.0,Bhaktapur,"park, point_of_interest, establishment",Bhaktapur,Description too short (< 10 words)
72,"Itapako, taralan chok","MCG7+77J, Nagarkot Rd, Bhaktapur 44800, Nepal",27.6757188,85.4131511,0.0,Nagarkot Rd,"park, point_of_interest, establishment",Nagarkot,Description too short (< 10 words)
73,tenge,"MCFG+WX2, Bhaktapur 44800, Nepal",27.674766,85.4273979,0.0,Bhaktapur,"park, point_of_interest, establishment",Bhaktapur,Description too short (< 10 words)
74,Bagmara,"MCCH+CW4, Bhaktapur 44800, Nepal",27.6710221,85.4298197,0.0,Bhaktapur,"park, point_of_interest, establishment",Bhaktapur,Description too short (< 10 words)
75,jaraayaotaara,"53H2+5XV, Bhojpur 57000, Nepal",27.1779842,87.0524338,0.0,Bhojpur,"park, point_of_interest, establishment",Bhojpur,Description too short (< 10 words)
76,Mahendra park,"5352+2F2, Bhojpur Sadak, Bhojpur 57000, Nepal",27.1575046,87.0511301,5.0,Bhojpur Sadak,"park, point_of_interest, establishment",Bhojpur,Description too short (< 10 words)
77,Sahid Memorial Park,"529X+JR3, Bhojpur 57000, Nepal",27.1690194,87.049539,4.0,Bhojpur,"park, point_of_interest, establishment",Bhojpur,Description too short (< 10 words)
78,Tharpu Dada,"52QH+7MQ, Bhojpur 57000, Nepal",27.188537,87.030407,0.0,Bhojpur,"park, point_of_interest, establishment",Bhojpur,Description too short (< 10 words)
79,Dhap kharka,"52XX+GFR, Bhojpur 57000, Nepal",27.1988617,87.0486487,0.0,Bhojpur,"park, point_of_interest, establishment",Bhojpur,Description too short (< 10 words)
80,Magar Bari,"52PG+V8P, Bhojpur 57000, Nepal",27.1872118,87.0258364,0.0,Bhojpur,"park, point_of_interest, establishment",Bhojpur,Description too short (< 10 words)
81,School Dada Park,"52QW+49, Bhojpur 57000, Nepal",27.187781,87.045901,0.0,Bhojpur,"park, point_of_interest, establishment",Bhojpur,Description too short (< 10 words)
82,Bar Danda,"52PF+9PR, Bhojpur 57000, Nepal",27.1859926,87.024262,0.0,Bhojpur,"park, point_of_interest, establishment",Bhojpur,Description too short (< 10 words)
83,Dawan chaauka,"6226+XV7, Bhojpur 57000, Nepal",27.2024621,87.0122539,0.0,Bhojpur,"park, point_of_interest, establishment",Bhojpur,Description too short (< 10 words)
84,Ramailo Dada (Aakash Memorial),"52RH+678, Bhojpur 57000, Nepal",27.1905262,87.0281944,0.0,Bhojpur,"park, point_of_interest, establishment",Bhojpur,Description too short (< 10 words)
85,Pipal Bottom,"52QG+8XX, Bhojpur 57000, Nepal",27.1883599,87.0273852,0.0,Bhojpur,"park, point_of_interest, establishment",Bhojpur,Description too short (< 10 words)
86,Balaute balaautae bajaara,"6262+2XF, Balaute Bazar Dawan, Bhojpur 57000, Nepal",27.2099918,87.0025084,0.0,Balaute Bazar Dawan,"park, point_of_interest, establishment",Dawan,Description too short (< 10 words)
87,Piple Dada,"52J7+MWW, Bhojpur 57000, Nepal",27.1817266,87.0148388,0.0,Bhojpur,"park, point_of_interest, establishment",Bhojpur,Description too short (< 10 words)
88,Halhale,"3WQQ+4JM, Bhojpur 57000, Nepal",27.0878267,86.9390365,0.0,Bhojpur,"park, point_of_interest, establishment",Bhojpur,Description too short (< 10 words)
89,Bantawa Niwas,"52PG+XH9, Bhojpur 57000, Nepal",27.1874575,87.0264966,0.0,Bhojpur,"park, point_of_interest, establishment",Bhojpur,Description too short (< 10 words)
90,Khamare Dobato,"52QF+7WQ, Bhojpur 57000, Nepal",27.1882067,87.024852,0.0,Bhojpur,"park, point_of_interest, establishment",Bhojpur,Description too short (< 10 words)
91,Chhimalung,"54R2+8W5, Bhojpur 57000, Nepal",27.1907718,87.1023746,0.0,Bhojpur,"park, point_of_interest, establishment",Bhojpur,Description too short (< 10 words)
92,Spring water source,"53H2+5XV, Bhojpur 57000, Nepal",27.1779842,87.0524338,0.0,Bhojpur,"park, point_of_interest, establishment",Bhojpur,Description too short (< 10 words)
