id,name,address,latitude,longitude,location,types,
140,"Ananta Mukti Church, Bajhang, Nepal (ananata maukatai characha)","Ringrode, jayapaृthawaii 10500, naepaala",29.5509403,81.200997,jayapaृthawaii,,
141,Ananta shalom church Sundarbazar,"4CH9+W7C, saunadarabajaara 33600, naepaala",28.129795,84.418085,saunadarabajaara, church,
142,Ancient Nepal Art Gallery,"P875+W9M, pakanaajaola maaraga, 43Kathmandu 44600, naepaala",27.7148281,85.3084387,pakanaajaola maaraga, art_gallery,
143,Ancient Purenwa (Bilash kunj Durbar),"Purenwa Durbar, gaur-10, Samanpur-Gaur Road Purenwa, gaaura 44500, naepaala",26.77626,85.2823994,gaur-10, amusement_park,
144,Angel Aquarium,"Nagaun Rd., Kirtipur, Kathmandu 44618, naepaala",27.6731127,85.2746924,Kirtipur, aquarium,
145,Angel Aquarium House,"Samakhusi Marg, kaathamaadaauँ 44611, naepaala",27.7302708,85.3149344,kaathamaadaauँ, aquarium,
146,Anikesh Gorkhali dada,"Dhading Besi Rajmarga 4, nailakanatha 45100, naepaala",27.8871306,84.9146211,nailakanatha, tourist_attraction,
147,Animal Hospitals,"843X+7R5, chanadananaatha 21200, naepaala",29.3031459,82.1496049,chanadananaatha, zoo,
148,Animal Shelter Park,"MF5Q+6JV, jautapaanaii 44200, naepaala",27.6581222,84.4890337,jautapaanaii, zoo,
149,Animals Forest,"Q6V3+5MF, bharaaula, naepaala",26.7929447,87.2041833,bharaaula, zoo,
150,Animals kingdom,"RQ83+PR8, taraiyaugaa 56300, naepaala",26.8167898,86.7545807,taraiyaugaa, zoo,
151,Annapurna ,,27.672179,85.428806,0,,
152,Annapurna Base Camp Trek,"thamaela maaraga, kaathamaadaauँ 44600, naepaala",27.7148119,85.3112851,kaathamaadaauँ, hike,
153,Annapurna Mata Mandir,"Annapurna municipality-6, laumalae 33400, naepaala",28.3031378,83.7686724,laumalae, hindu_temple,
154,Annapurna Range view point Lama Gaun,"6XVJ+595, saaraangakaota raoda, paokharaa 33700, naepaala",28.2428761,83.9809832,saaraangakaota raoda, picnic,
155,Annapurna Skate Park,"paokharaa 33700, naepaala",28.2026368,83.9877514,naepaala, park,
156,Ansari nivas,"Damak 9, damaka 57217, naepaala",26.6579375,87.7016761,damaka, mosque,
157,Anubhab magar,"2XJW+6PX, 45100, naepaala",28.0306063,84.9968514,45100, park,
158,Anughra Church,"695W+J3Q, taokasaela 56100, naepaala",27.2090973,86.3952422,taokasaela, church,
159,Anugrah Pabitra Church ( anaugaraha pawaitara characha ) - Biblical Church at Nawalparasi,"School chowk, gaaimdaakaota 33000, naepaala",27.697503,84.3072928,gaaimdaakaota,,
160,Anugrah christain church,"XVCM+WVH, baradaibaasa 45701, naepaala",26.9723193,85.8847445,baradaibaasa, church,
161,Anugraha Baptist church,"4J79+R75, jaaidaii 33400, naepaala",28.1145201,83.6182437,jaaidaii, church,
162,Anugraha Church ️ ️,"daekhatabhaulaii 10400, naepaala",28.8481822,80.4061098,saurayawainaayaka, church,
163,Anugraha Kamphek Church,"V83H+QP3 Rajarani - Rabi - Ranke, bhaedaetaara 56804, naepaala",26.8543789,87.3292952,bhaedaetaara, church,
