,id,name,address,latitude,longitude,rating,second_word,types,Description
112,166,B. P. Park,"WW5G+75R, Ilam 57300, Nepal",26.908232,87.9253824,4.9,Ilam 57300,"park, point_of_interest, establishment","Many prominent persons, especially from the entertainment industry, are interred at Forest Lawn Memorial Park (Hollywood Hills) California.


== A ==
Harry Ackerman (1912–1991), television executive producer
Rodolfo Acosta (1920–1974), actor
Edie Adams (1927–2008), actress and singer
Iris Adrian (1912–1994), actress
Philip Ahn (1905–1978), actor
Ralph Ahn (1926–2022), actor
Harry Akst (1894–1963), songwriter
Robert Aldrich (1918–1983), director
Irving Allen (1905–1987), producer and director
Steve Allen (1921–2000), actor, comedian, writer, and television host (unmarked grave)
Don Alvarado (1904–1967), actor and director
Leon Ames (1902–1993), actor
Morey Amsterdam (1908–1996), actor and comedian
Carl David Anderson (1905–1991), scientist
Ernie Anderson (1923–1997), television announcer
Mignon Anderson (1892–1983), actress
Lois Andrews (1924–1968), actress
Jack Angel (1930–2021), voice actor
Michael Ansara (1922–2013), actor
Dimitra Arliss (1932–2012), actress
Robert Arthur (1909–1986), producer
Kelly Asbury (1960–2020), animator and film director
John Ashley (1934–1997), actor
Gene Autry (1907–1998), actor and singer
Luis Ávalos (1946–2014), actor
Doe Avedon (1925–2011), actress and model
Patricia Avery (1902–1973), actress
Tex Avery (1908–1980), animator


== B ==
Art Babbitt (1907–1992), animator
Lloyd Bacon (1889–1955), director
Parley Baer (1914–2002), actor
David Bailey (1933–2004), actor
Jimmy Bain (1947–2016), musician
Richard Bakalyan (1931–2015), actor
Buddy Baker (1918–2002), composer
Bonnie Lee Bakley (1956–2001), actress and singer
John Ball (1911–1988), novelist
Frankie Banali (1951–2020), musician
Bob Barker (1923–2023), game show host
Harry Barris (1905–1962), singer, songwriter and musician
Don ""Red"" Barry (1912–1980), actor
Ivor Barry (1919–2006), actor
Judith Barsi (1978–1988), child actress
Elgin Baylor (1934–2021), basketball player, coach and executive
Clyde Beatty (1903–1965), circus owner and lion tamer
Noah Beery Jr. (1913–1994), actor
Noah Beery Sr."
113,167,Statue of Martyr Ratna Kumar Bantawa Rai,"WW5F+94G, Ilam 57300, Nepal",26.9084359,87.9228189,4.1,Ilam 57300,"park, point_of_interest, establishment",
114,168,Sukilumba Park,"VWH4+PP, Ilam 57300, Nepal",26.8793571,87.906842,4.0,Ilam 57300,"park, point_of_interest, establishment","This is a list of airports in Nepal, sorted by location.
The oldest of the country's three international airports, and the hub of air services in the country, is Tribhuvan International Airport, which serves the nation's capital and the country's largest metropolitan city of Kathmandu.  Gautam Buddha International Airport, situated at the birth-place of Gautam Buddha (i.e."
115,169,Karki Park,"WW8H+VP3, Ranabir Gurung Marg, Ilam 57300, Nepal",26.9171323,87.9293008,3.8,Ranabir Gurung Marg,"park, point_of_interest, establishment","Karki (Azerbaijani: Kərki) or Tigranashen (Armenian: Տիգրանաշեն) is a village that is de jure an enclave and exclave of Azerbaijan, de facto under the control of Armenia, administered within the Ararat Municipality of the Ararat Province. The main highway connecting northern Armenia with southern Armenia passes right by the village. Today the village is mostly inhabited by Armenians, both locals and refugees from Azerbaijan."
116,170,Tea garden view hand,"WW5C+XXF, Ilam 57300, Nepal",26.9099323,87.9224316,4.6,Ilam 57300,"park, point_of_interest, establishment","The San Antonio Japanese Tea Garden, or Sunken Gardens in Brackenridge Park, San Antonio, Texas, opened in an abandoned limestone rock quarry in the early 20th century. It was known also as Chinese Tea Gardens, Chinese Tea Garden Gate, Chinese Sunken Garden Gate and is listed on the U.S. National Register of Historic Places. It is located on the northwestern edge of Brackenridge Park, near the San Antonio Zoo."
117,171,"Barhabise masar,ilam","VVGQ+MF, Ilam 57300, Nepal",26.8766875,87.8886875,5.0,Ilam 57300,"park, point_of_interest, establishment",
118,172,Shrastha Park,"WW5G+GW3, Ilam 57300, Nepal",26.9087517,87.9272872,3.0,Ilam 57300,"park, point_of_interest, establishment",
119,173,Bisauni Dhunga,"WW5C+XXF Tea garden view hand, Ilam 57300, Nepal",26.9103204,87.9221493,5.0,Ilam 57300,"park, point_of_interest, establishment",
120,174,Janaki Chock,"WW5H+36C, Ilam 57300, Nepal",26.9081342,87.9276691,0.0,Ilam 57300,"park, point_of_interest, establishment","Samyukta, also known as Sanyogita or Sanjukta, was the daughter of Jaichand, the King of Kannauj, and one of three wives of Prithviraj Chauhan. The love between Prithviraj and Samyukta is one of India's most popular medieval romances, composed by Chand Bardai in Prithviraj Raso.


== Legend ==

At the peak of his reign, Prithviraj had annexed vast regions of India to his kingdom, and his fame had spread all across the subcontinent and to Afghanistan."
121,175,Nar Bahadur Samarung's Tea garden,"Ilam 57300, Nepal",26.9256953,87.857104,5.0,Nepal,"park, point_of_interest, establishment",
