id,name,address,latitude,longitude,rating,second_word,types
,Single Bar,"MCGJ+MHM, Bhaktapur 44800, Nepal",27.6767052,85.4314316,0.0,Bhaktapur,"park, point_of_interest, establishment"
,Temple park,"MCF4+RVW, Bhaktapur 44800, Nepal",27.6745439,85.4074859,0.0,Bhaktapur,"park, point_of_interest, establishment"
,Pipalbot,"MCC8+JP7, Nagarkot Road, Bhaktapur 44800, Nepal",27.6715355,85.4167828,0.0,Nagarkot Road,"park, point_of_interest, establishment"
,Shahid udyan,"MCCH+CW4 Smriti Nagar, Bhaktapur 44800, Nepal",27.6710221,85.4298197,0.0,Bhaktapur,"park, point_of_interest, establishment"
,Changu Narayan,"MCFG+WX2, Bhaktapur 44800, Nepal",27.674766,85.4273979,5.0,Bhaktapur,"park, point_of_interest, establishment"
,फुलबारी,"MCCV+4MP, Bhaktapur 44800, Nepal",27.6703326,85.4441932,0.0,Bhaktapur,"park, point_of_interest, establishment"
,Gamcha Pipal Bot,"M94R+WM4, Thimi-Biruwa Rd, Bhaktapur, Nepal",27.6572562,85.3917093,4.0,Thimi-Biruwa Rd,"park, point_of_interest, establishment"
,sallaghari,"MCF6+P94, Nagarkot Rd, Bhaktapur 44800, Nepal",27.6739946,85.4113633,0.0,Nagarkot Rd,"park, point_of_interest, establishment"
,Suchana tole,"Bhaktapur 32701, Nepal",27.6634375,85.3781875,5.0,Nepal,"park, point_of_interest, establishment"
,Baniya Danda Naya Basti,"Bhaktapur, Nepal",27.6843543,85.4622264,5.0,Nepal,"park, point_of_interest, establishment"
,Rabin homes,"MCFG+QWP, Bhaktapur 44800, Nepal",27.6744697,85.4273127,0.0,Bhaktapur,"park, point_of_interest, establishment"
,"Itapako, taralan chok","MCG7+77J, Nagarkot Rd, Bhaktapur 44800, Nepal",27.6757188,85.4131511,0.0,Nagarkot Rd,"park, point_of_interest, establishment"
,tenge,"MCFG+WX2, Bhaktapur 44800, Nepal",27.674766,85.4273979,0.0,Bhaktapur,"park, point_of_interest, establishment"
,Bagmara,"MCCH+CW4, Bhaktapur 44800, Nepal",27.6710221,85.4298197,0.0,Bhaktapur,"park, point_of_interest, establishment"
,जरायोटार,"53H2+5XV, Bhojpur 57000, Nepal",27.1779842,87.0524338,0.0,Bhojpur,"park, point_of_interest, establishment"
,Mahendra park,"5352+2F2, Bhojpur Sadak, Bhojpur 57000, Nepal",27.1575046,87.0511301,5.0,Bhojpur Sadak,"park, point_of_interest, establishment"
,Sahid Memorial Park,"529X+JR3, Bhojpur 57000, Nepal",27.1690194,87.049539,4.0,Bhojpur,"park, point_of_interest, establishment"
,Tharpu Dada,"52QH+7MQ, Bhojpur 57000, Nepal",27.188537,87.030407,0.0,Bhojpur,"park, point_of_interest, establishment"
,Dhap kharka,"52XX+GFR, Bhojpur 57000, Nepal",27.1988617,87.0486487,0.0,Bhojpur,"park, point_of_interest, establishment"
,Magar Bari,"52PG+V8P, Bhojpur 57000, Nepal",27.1872118,87.0258364,0.0,Bhojpur,"park, point_of_interest, establishment"
,School Dada Park,"52QW+49, Bhojpur 57000, Nepal",27.187781,87.045901,0.0,Bhojpur,"park, point_of_interest, establishment"
,Bar Danda,"52PF+9PR, Bhojpur 57000, Nepal",27.1859926,87.024262,0.0,Bhojpur,"park, point_of_interest, establishment"
,Dawan चौक,"6226+XV7, Bhojpur 57000, Nepal",27.2024621,87.0122539,0.0,Bhojpur,"park, point_of_interest, establishment"
,Ramailo Dada (Aakash Memorial),"52RH+678, Bhojpur 57000, Nepal",27.1905262,87.0281944,0.0,Bhojpur,"park, point_of_interest, establishment"
,Pipal Bot,"52QG+8XX, Bhojpur 57000, Nepal",27.1883599,87.0273852,0.0,Bhojpur,"park, point_of_interest, establishment"
,Balaute बलौटे बजार,"6262+2XF, Balaute Bazar Dawan, Bhojpur 57000, Nepal",27.2099918,87.0025084,0.0,Balaute Bazar Dawan,"park, point_of_interest, establishment"
,Piple Dada,"52J7+MWW, Bhojpur 57000, Nepal",27.1817266,87.0148388,0.0,Bhojpur,"park, point_of_interest, establishment"
,Halhale,"3WQQ+4JM, Bhojpur 57000, Nepal",27.0878267,86.9390365,0.0,Bhojpur,"park, point_of_interest, establishment"
,Bantawa Niwas,"52PG+XH9, Bhojpur 57000, Nepal",27.1874575,87.0264966,0.0,Bhojpur,"park, point_of_interest, establishment"
,Khamare Dobato,"52QF+7WQ, Bhojpur 57000, Nepal",27.1882067,87.024852,0.0,Bhojpur,"park, point_of_interest, establishment"
,Chhimalung,"54R2+8W5, Bhojpur 57000, Nepal",27.1907718,87.1023746,0.0,Bhojpur,"park, point_of_interest, establishment"
,Spring water source,"53H2+5XV, Bhojpur 57000, Nepal",27.1779842,87.0524338,0.0,Bhojpur,"park, point_of_interest, establishment"
,Balaute Bhanjyang,"8XV2+8F5, Bhojpur 57000, Nepal",27.3432608,86.9512359,5.0,Bhojpur,"park, point_of_interest, establishment"
,Mundum Trail,"7XC2+83J, Bhojpur 57000, Nepal",27.270833,86.9501513,5.0,Bhojpur,"park, point_of_interest, establishment"
,Wild Adventure Resort,"Badrehani 8, Sauraha, Chitwan 44202, Nepal",27.5779533,84.4747772,4.4,Sauraha,"lodging, park, restaurant, food, point_of_interest, establishment"
,Sarang Wildlife Sanctuary,"27, Meghauli, Chitwan 44210, Nepal",27.5761575,84.2144993,4.2,Meghauli,"zoo, lodging, restaurant, park, food, point_of_interest, establishment"
,Dhanushadham Protected Forest,"R3V2+X5F, Dhanusadham 45600, Nepal",26.8449378,86.0504111,4.2,Dhanusadham,"park, point_of_interest, establishment"
,Dhanushadham Botanical Garden,"Dhanusha dham.3, Dhanusadham 45600, Nepal",26.8703606,86.0445641,4.3,Dhanusadham,"park, point_of_interest, establishment"
,Tinkune Park Dharapani,"W24R+5JC, Dhanusadham 45600, Nepal",26.9054473,86.0415017,5.0,Dhanusadham,"park, point_of_interest, establishment"
,"Jugeshwarpur, Tree Place","R24P+27F, Dhanusadham 45600, Nepal",26.805053,86.0356809,3.7,Dhanusadham,"park, point_of_interest, establishment"
,Jehovah Intersection,"W323+PG3, Dhanusadham 45600, Nepal",26.9017515,86.0537983,5.0,Dhanusadham,"park, point_of_interest, establishment"
,डाँडा टोल चोक धनुषा,"W24J+5PQ, Dhanusadham 45600, Nepal",26.9062857,86.032086,0.0,Dhanusadham,"park, point_of_interest, establishment"
,Dolpo Buddha Hotel,"45GP+Q7H, Dolpa, Dho 1, Nepal",29.1269276,83.18574,0.0,Dolpa,"campground, park, lodging, point_of_interest, establishment"
,The Gurkhaz Rock Garden & Stone Park (Love Park),"Gorkha 34000, Nepal",27.9969906,84.630357,5.0,Nepal,"park, point_of_interest, establishment"
,Children Park,"2J36+JCJ, Unnamed Road, Gorkha 34000, Nepal",28.0040974,84.6110049,3.9,Unnamed Road,"park, point_of_interest, establishment"
,Gurkhali Stone Park,"Gorkha-6, Gorkha, Nepal",27.9958005,84.6283638,5.0,Gorkha,"park, point_of_interest, establishment"
,Dumsheree Gorkha,"2JHF+4PX, Gorkha 34000, Nepal",28.0278656,84.6243656,0.0,Gorkha,"park, point_of_interest, establishment"
,चिया बारी,"WW7C+3X4, Ilam 57300, Nepal",26.9126304,87.9224488,4.2,Ilam,"park, point_of_interest, establishment"
,"Love Danda, Ilam","Ilam Tea Factory, Near, Ilam 57300, Nepal",26.9097744,87.9222912,4.4,Near,"park, point_of_interest, establishment"
,New Zealand Park,"WWFC+WPX, Ilam 57300, Nepal",26.9248629,87.921854,5.0,Ilam,"park, point_of_interest, establishment"
,Workout Park,"WW8F+9HX, Unnamed Road, Ilam 57300, Nepal",26.9159904,87.923978,3.5,Unnamed Road,"park, point_of_interest, establishment"
,B. P. Park,"WW5G+75R, Ilam 57300, Nepal",26.908232,87.9253824,4.9,Ilam,"park, point_of_interest, establishment"
,Statue of Martyr Ratna Kumar Bantawa Rai,"WW5F+94G, Ilam 57300, Nepal",26.9084359,87.9228189,4.1,Ilam,"park, point_of_interest, establishment"
,Sukilumba Park,"VWH4+PP, Ilam 57300, Nepal",26.8793571,87.906842,4.0,Ilam,"park, point_of_interest, establishment"
,Karki Park,"WW8H+VP3, Ranabir Gurung Marg, Ilam 57300, Nepal",26.9171323,87.9293008,3.8,Ranabir Gurung Marg,"park, point_of_interest, establishment"
,Tea garden view hand,"WW5C+XXF, Ilam 57300, Nepal",26.9099323,87.9224316,4.6,Ilam,"park, point_of_interest, establishment"
,"Barhabise masar,ilam","VVGQ+MF, Ilam 57300, Nepal",26.8766875,87.8886875,5.0,Ilam,"park, point_of_interest, establishment"
,Shrastha Park,"WW5G+GW3, Ilam 57300, Nepal",26.9087517,87.9272872,3.0,Ilam,"park, point_of_interest, establishment"
,Bisauni Dhunga,"WW5C+XXF Tea garden view hand, Ilam 57300, Nepal",26.9103204,87.9221493,5.0,Ilam,"park, point_of_interest, establishment"
,Janaki Chock,"WW5H+36C, Ilam 57300, Nepal",26.9081342,87.9276691,0.0,Ilam,"park, point_of_interest, establishment"
,"Nar Bahadur Samarung's Tea garden","Ilam 57300, Nepal",26.9256953,87.857104,5.0,Nepal,"park, point_of_interest, establishment"
,Deurali,"WWC9+3GV, Ilam 57300, Nepal",26.9202464,87.9187975,0.0,Ilam,"park, point_of_interest, establishment"
,"Padam kanta's tea garden 🏡","VV76+PMG, Ilam 57300, Nepal",26.8643133,87.8617117,0.0,Ilam,"park, point_of_interest, establishment"
,Statue of Martyr Bam Prasad Bantawa,"WW5F+GF5, Ilam 57300, Nepal",26.9087678,87.9237453,0.0,Ilam,"park, point_of_interest, establishment"
,Rajbanshi tol,"J37F+337, Himali Chowk Bus Stop, Jhapa, Mechi Hwy, Bhadrapur 57200, Nepal",26.6126567,88.0726716,0.0,Himali Chowk Bus Stop,"park, point_of_interest, establishment"
,देवरीया वनस्पति उध्यान कैलाली,"MJPC+3JW, Kailali, Dhandaghi, Dhangadhi, Nepal",28.685244,80.621591,4.2,Kailali,"park, point_of_interest, establishment"
,सुन्तला बगैचा(घरखेडा)🍊,"Chure 01 Kailali Chure 01, 10900, Nepal",29.0033162,80.6676659,5.0,10900,"park, point_of_interest, establishment"
,"Khadgaun vokunday,kaskikot, Nepal","7VGR+9V5, Khadgakot, Kaskikot, Nepal",28.2758836,83.8922191,4.7,Khadgakot,"park, point_of_interest, establishment"
,Sankhamul Park,"Kathmandu 44600, Nepal",27.6788847,85.3312506,4.1,Nepal,"park, point_of_interest, establishment"
,Tinkune Park,"Ring Rd, Kathmandu 44600, Nepal",27.6853659,85.3488678,3.5,Kathmandu,"park, point_of_interest, establishment"
,Madan Bhandari Smriti Vatika,"Kathmandu 44600, Nepal",27.681429,85.3433998,4.3,Nepal,"park, point_of_interest, establishment"
